Year,Gas_price_PSV_EUR_MWh,Carbon_price_EU_ETS_EUR_tonne,Electricity_demand_TWh,Battery_storage_Capacity_GW,PV_Capacity_GW,Wind_Capacity_GW,PV_Captured_Price_EUR_MWh,Baseload_Price_EUR_MWh,Release,Hydro_Capacity_GW,Hydro_Generation_TWh
2026,33.08,83.98,320,2.3,45.91,14.25,89.2,110.27,26-Apr,15.5,39.28
2027,31.42,91.32,322.89,3,51.57,14.98,79.46,101.04,26-Apr,15.5,39.15
2028,30.81,99.52,327.6,4.9,56,15.74,74.06,97.1,26-Apr,15.5,39.01
2029,27.48,107.84,331.6,7.3,59.57,16.53,69.75,94.58,26-Apr,15.5,38.88
2030,26.56,114.44,336.02,9.5,62.5,17.46,67.57,93.62,26-Apr,15.5,38.75
2031,26.06,117.84,340.43,11.02,67.52,18.4,66.02,91.34,26-Apr,15.5,38.61
2032,25.24,119.9,345.02,11.39,71.7,19.79,64.85,90.22,26-Apr,15.5,38.61
2033,24.45,121.78,349.76,12.11,75.19,20.53,64.15,89.43,26-Apr,15.5,38.48
2034,23.59,123.37,355.54,12.68,78.15,21.3,61.5,88.6,26-Apr,15.5,38.48
2035,22.67,124.89,361.18,13.28,80.69,22.54,58.81,86.44,26-Apr,15.5,38.48
2036,21.72,126.49,367.38,13.74,82.89,23.22,57.98,86.29,26-Apr,15.5,38.48
2037,20.82,128.11,373.21,14.41,84.84,23.89,55.65,84.37,26-Apr,15.5,38.21
2038,19.62,129.68,379.07,14.88,86.83,24.3,53.76,82.96,26-Apr,15.5,37.95
2039,18.45,131.3,385.02,15.34,88.71,24.66,51.21,80.8,26-Apr,15.5,37.68
2040,18.36,132.87,390.9,15.96,90.61,25.01,49.45,79.79,26-Apr,15.5,37.55
