Region,Year,Baseload_Price_EUR_MWh,Battery_storage_Capacity_GW,Battery_storage_Generation_TWh,Biomass__other_RES_Capacity_GW,Biomass__other_RES_Generation_TWh,Carbon_price_EU_ETS_EUR_tonne,Coal_Capacity_GW,Coal_Generation_TWh,Coal_price_ARA_EUR_tonne,DSR_Capacity_GW,DSR_Generation_TWh,Electricity_demand_TWh,Gas_CCGT_Capacity_GW,Gas_CCGT_Generation_TWh,Gas___oil_peaker_Capacity_GW,Gas___oil_peaker_Generation_TWh,Gas_price_PSV_EUR_MWh,Hydro_Capacity_GW,Hydro_Generation_TWh,Hydrogen_CCGT_Capacity_GW,Hydrogen_CCGT_Generation_TWh,Hydrogen_peaker_Capacity_GW,Hydrogen_peaker_Generation_TWh,Interconnectors_Capacity_GW,Net_imports_Generation_TWh,Other_thermal_Capacity_GW,Other_thermal_Generation_TWh,PV_Captured_Price_EUR_MWh,Pumped_storage_Capacity_GW,Pumped_storage_Generation_TWh,Scenario,Release,PV_Generation_TWh,PV_Capacity_GW,Wind_Generation_TWh,Wind_Capacity_GW,Hydrogen_peakers_Capacity_GW,Hydrogen_peakers_Generation_TWh,Other_RES_Capacity_GW,Other_RES_Generation_TWh,Peaking_Capacity_GW,Peaking_Generation_TWh,Cannibalization
Italy,2026,109.07700000000001,3.6,-0.4,5.3,16.5,92.7,0.6,0.0,113.4,0.0,0.0,312.3750064640312,41.8,146.9,7.8,6.7,33.1,21.5,49.708,0.0,0.0,0.0,0.0,12.6,17.2,2.8,8.0,94.80199999999999,8.5,1.1,Central,Apr23,46.40518477621743,43.174182,32.7,15.050141999999997,,,,,,,0.13087085270038612
Italy,2027,103.721,5.3,-0.8,5.4,15.0,96.5,0.6,0.0,110.0,0.0,0.0,315.8715706908515,42.6,130.5,7.4,6.2,31.3,21.5,49.550333333333334,0.0,0.0,0.0,0.0,13.7,23.4,2.8,8.0,88.382,8.6,1.1,Central,Apr23,52.027852685024875,49.567308999999995,38.5,16.558614,,,,,,,0.14788712025530026
Italy,2028,100.485,7.0,-1.1,5.4,16.1,100.5,0.6,0.0,104.8,0.0,0.0,327.9111769293202,43.2,106.6,7.2,6.1,32.7,21.5,49.52166666666666,0.0,0.0,0.0,0.0,13.7,31.8,2.8,8.0,82.62,8.8,1.0,Central,Apr23,56.91437597133048,54.90460857467606,45.8,17.137823000000004,,,,,,,0.1777877295118674
Italy,2029,97.85,8.7,-1.5,5.5,17.1,105.5,0.6,0.0,94.8,0.0,0.0,331.8677169705154,43.3,92.8,7.0,6.0,34.0,21.5,49.263666666666666,0.0,0.0,0.0,0.0,13.7,36.5,2.8,7.9,78.106,8.9,0.9,Central,Apr23,60.91997026333844,59.49709735426427,48.00000000000001,16.969634999999997,,,,,,,0.20177823198773637
Italy,2030,96.33,10.3,-1.8,5.5,17.7,110.8,0.6,0.0,86.6,1.0,0.2,335.6770766180982,42.7,76.7,6.8,5.9,34.2,21.5,49.09166666666666,0.0,0.0,0.0,0.0,14.2,39.2,2.8,7.9,72.8575,9.0,0.7,Central,Apr23,66.77877213117739,63.83208334693436,55.8,17.356001000000003,,,,,,,0.24366760095505036
Italy,2031,95.19,10.7,-1.9,5.5,18.0,112.3,0.0,0.0,80.5,1.1,0.3,340.40586348117284,43.4,73.3,6.4,5.4,34.5,21.5,49.00566666666667,0.0,0.0,0.0,0.0,14.3,38.0,2.8,7.8,68.967,9.2,0.5,Central,Apr23,74.57116179714157,69.35318059489421,58.8,18.864801,,,,,,,0.27548061771194454
Italy,2032,91.77,11.8,-2.0,5.5,18.0,113.8,0.0,0.0,76.4,1.2,0.3,343.0243790317842,42.6,65.5,9.6,5.4,34.5,21.5,48.99133333333333,0.0,0.0,0.0,0.0,14.4,36.3,2.8,7.7,65.448,9.3,0.2,Central,Apr23,81.38465058377845,73.75224549427054,67.0,20.838041,,,,,,,0.28682576005230476
Italy,2033,91.58,13.0,-2.2,5.5,17.9,115.3,0.0,0.0,73.8,1.3,0.3,347.9430284810298,43.0,64.0,9.6,5.4,34.7,21.5,48.833666666666666,0.0,0.0,0.0,0.0,14.5,35.6,2.8,7.7,64.741,9.5,0.0,Central,Apr23,87.25472123989648,77.33627209127496,68.6,21.656841,,,,,,,0.29306617165319937
Italy,2034,91.485,13.8,-2.3,5.5,18.0,116.8,0.0,0.0,71.7,1.4,0.3,351.9895793910463,43.0,62.6,9.6,5.4,34.6,21.5,48.77633333333333,0.0,0.0,0.0,0.0,14.6,35.5,2.8,7.7,64.236,9.6,-0.2,Central,Apr23,92.65892126234107,79.77544502481572,69.7,22.373183,,,,,,,0.29785210690277086
Italy,2035,89.585,14.6,-2.4,5.5,18.0,118.2,0.0,0.0,69.9,1.5,0.4,354.459291880667,42.7,60.0,9.6,5.4,34.4,21.5,48.69033333333333,0.0,0.0,0.0,0.0,14.7,36.9,2.8,7.6,60.903,9.8,-0.4,Central,Apr23,97.79481368177731,81.98020332224148,70.8,23.572716294726654,,,,,,,0.32016520622872124
