Region,Year,Baseload_Price_EUR_MWh,Battery_storage_Capacity_GW,Battery_storage_Generation_TWh,Biomass__other_RES_Capacity_GW,Biomass__other_RES_Generation_TWh,Carbon_price_EU_ETS_EUR_tonne,Coal_Capacity_GW,Coal_Generation_TWh,Coal_price_ARA_EUR_tonne,DSR_Capacity_GW,DSR_Generation_TWh,Electricity_demand_TWh,Gas_CCGT_Capacity_GW,Gas_CCGT_Generation_TWh,Gas___oil_peaker_Capacity_GW,Gas___oil_peaker_Generation_TWh,Gas_price_PSV_EUR_MWh,Hydro_Capacity_GW,Hydro_Generation_TWh,Hydrogen_CCGT_Capacity_GW,Hydrogen_CCGT_Generation_TWh,Hydrogen_peaker_Capacity_GW,Hydrogen_peaker_Generation_TWh,Interconnectors_Capacity_GW,Net_imports_Generation_TWh,Other_thermal_Capacity_GW,Other_thermal_Generation_TWh,PV_Captured_Price_EUR_MWh,Pumped_storage_Capacity_GW,Pumped_storage_Generation_TWh,Scenario,Release,PV_Generation_TWh,PV_Capacity_GW,Wind_Generation_TWh,Wind_Capacity_GW,Hydrogen_peakers_Capacity_GW,Hydrogen_peakers_Generation_TWh,Other_RES_Capacity_GW,Other_RES_Generation_TWh,Peaking_Capacity_GW,Peaking_Generation_TWh,Cannibalization
Italy,2026,109.39,3.6,-0.4,5.3,16.5,92.7,0.6,0.0,113.4,0.0,0.0,324.38,41.8,146.9,7.8,6.7,33.1,21.5,49.71,0.0,0.0,0.0,0.0,12.6,17.2,2.8,8.0,94.8,8.5,1.1,Central,Apr23,46.41,43.17,32.7,15.05,,,,,,,0.13
Italy,2027,101.71,5.3,-0.8,5.4,15.0,96.5,0.6,0.0,110.0,0.0,0.0,329.57,42.6,130.5,7.4,6.2,33.3,21.5,49.55,0.0,0.0,0.0,0.0,13.7,23.4,2.8,8.0,86.73,8.6,1.1,Central,Apr23,52.03,49.57,38.5,16.56,,,,,,,0.15
Italy,2028,96.42,7.0,-1.1,5.4,16.1,100.5,0.6,0.0,104.8,0.0,0.0,335.91,43.2,106.6,7.2,6.1,32.7,21.5,49.52,0.0,0.0,0.0,0.0,13.7,31.8,2.8,8.0,79.54,8.8,1.0,Central,Apr23,56.91,54.9,45.8,17.14,,,,,,,0.18
Italy,2029,94.76,8.7,-1.5,5.5,17.1,105.5,0.6,0.0,94.8,0.0,0.0,339.87,43.3,92.8,7.0,6.0,30.2,21.5,49.26,0.0,0.0,0.0,0.0,13.7,36.5,2.8,7.9,74.12,8.9,0.9,Central,Apr23,60.92,59.5,48.0,16.97,,,,,,,0.2
Italy,2030,92.27,10.3,-1.8,5.5,17.7,110.8,0.6,0.0,86.6,1.0,0.2,343.68,42.7,76.7,6.8,5.9,28.7,21.5,49.09,0.0,0.0,0.0,0.0,14.2,39.2,2.8,7.9,69.46,9.0,0.7,Central,Apr23,66.78,63.83,55.8,17.36,,,,,,,0.24
Italy,2031,88.68,10.7,-1.9,5.5,18.0,112.3,0.0,0.0,80.5,1.1,0.3,348.41,43.4,73.3,6.4,5.4,28.5,21.5,49.01,0.0,0.0,0.0,0.0,14.3,38.0,2.8,7.8,64.7,9.2,0.5,Central,Apr23,74.57,69.35,58.8,18.86,,,,,,,0.28
Italy,2032,87.91,11.8,-2.0,5.5,18.0,113.8,0.0,0.0,76.4,1.2,0.3,351.02,42.6,65.5,9.6,5.4,28.5,21.5,48.99,0.0,0.0,0.0,0.0,14.4,36.3,2.8,7.7,63.5,9.3,0.2,Central,Apr23,81.38,73.75,67.0,20.84,,,,,,,0.29
Italy,2033,87.72,13.0,-2.2,5.5,17.9,115.3,0.0,0.0,73.8,1.3,0.3,355.94,43.0,64.0,9.6,5.4,28.7,21.5,48.83,0.0,0.0,0.0,0.0,14.5,35.6,2.8,7.7,63.14,9.5,0.0,Central,Apr23,87.25,77.34,68.6,21.66,,,,,,,0.29
Italy,2034,87.63,13.8,-2.3,5.5,18.0,116.8,0.0,0.0,71.7,1.4,0.3,359.99,43.0,62.6,9.6,5.4,28.6,21.5,48.78,0.0,0.0,0.0,0.0,14.6,35.5,2.8,7.7,61.06,9.6,-0.2,Central,Apr23,92.66,79.78,69.7,22.37,,,,,,,0.3
Italy,2035,85.81,14.6,-2.4,5.5,18.0,118.2,0.0,0.0,69.9,1.5,0.4,362.46,42.7,60.0,9.6,5.4,28.4,21.5,48.69,0.0,0.0,0.0,0.0,14.7,36.9,2.8,7.6,57.89,9.8,-0.4,Central,Apr23,97.79,81.98,70.8,23.57,,,,,,,0.32
